semantic_sign_id,name_en,priority,required_for,realistic_candidate_total,minimum_clean_crops,gap_to_minimum,collection_status,cleaning_status,next_action
bicycle_crossing,Bicycle crossing,must,assignment,50,50,0,meets_minimum_pending_qc,stage_d_qc_needed,"Review Stage C gap-fill 02 contact sheet, then include accepted crops in Stage E split freeze."
bicycles_only,Bicycles only,must,assignment,78,50,0,meets_minimum_pending_qc,candidate_count_ok_needs_qc,"Run Stage D visual QC, remove bad labels, then freeze split."
camera_enforcement,Camera enforcement,must,common_malaysia;demo_default;current_p5_dataset,124,50,0,meets_minimum_pending_qc,candidate_count_ok_needs_qc,"Run Stage D visual QC, remove bad labels, then freeze split."
children_crossing,Children crossing,must,assignment;common_malaysia;demo_default;current_p5_dataset,248,50,0,meets_good_pending_qc,candidate_count_ok_needs_qc,"Run Stage D visual QC, remove bad labels, then freeze split."
double_curve,Double curve,must,assignment;secondary_malaysia;current_p5_dataset,232,50,0,meets_good_pending_qc,candidate_count_ok_needs_qc,"Run Stage D visual QC, remove bad labels, then freeze split."
general_caution,General caution,must,assignment;common_malaysia;current_p5_dataset,334,50,0,meets_good_pending_qc,candidate_count_ok_needs_qc,"Run Stage D visual QC, remove bad labels, then freeze split."
give_way,Give way,must,assignment;common_malaysia;demo_default;multilingual_text;current_p5_dataset,374,50,0,meets_good_pending_qc,candidate_count_ok_needs_qc,"Run Stage D visual QC, remove bad labels, then freeze split."
height_restriction,Height restriction,must,common_malaysia;demo_default;ocr_value;current_p5_dataset,1050,50,0,meets_good_pending_qc,candidate_count_ok_needs_qc,"Run Stage D visual QC, remove bad labels, then freeze split."
keep_left,Keep left,must,common_malaysia;current_p5_dataset,593,50,0,meets_good_pending_qc,candidate_count_ok_needs_qc,"Run Stage D visual QC, remove bad labels, then freeze split."
keep_right,Keep right,must,assignment;common_malaysia;current_p5_dataset,50,50,0,meets_minimum_pending_qc,candidate_count_ok_needs_qc,"Run Stage D visual QC, remove bad labels, then freeze split."
maximum_speed,Maximum speed,must,assignment;common_malaysia;demo_default;ocr_value;current_p5_dataset,4094,50,0,meets_good_pending_qc,candidate_count_ok_needs_qc,"Run Stage D visual QC, remove bad labels, then freeze split."
motor_vehicles_only,Motor vehicles only,must,assignment,85,50,0,meets_minimum_pending_qc,stage_d_qc_needed,"Review TT100K contact sheet, then include accepted crops in Stage E split freeze."
no_entry,No entry,must,assignment;common_malaysia;demo_default;current_p5_dataset,871,50,0,meets_good_pending_qc,candidate_count_ok_needs_qc,"Run Stage D visual QC, remove bad labels, then freeze split."
no_heavy_vehicle,No heavy vehicles,must,common_malaysia;current_p5_dataset,93,50,0,meets_minimum_pending_qc,stage_d_qc_needed,"Review Stage C gap-fill 02 contact sheet, then include accepted crops in Stage E split freeze."
no_horn,No horn,must,assignment,140,50,0,meets_minimum_pending_qc,candidate_count_ok_needs_qc,"Run Stage D visual QC, remove bad labels, then freeze split."
no_left_or_right_turn,No left or right turn,must,assignment,0,50,50,still_below_minimum,not_ready_collect_more,Continue TT100K shards for p20 and exact official/public source mining; no accepted crop found in first 4 TT100K train shards.
no_left_turn,No left turn,must,assignment;common_malaysia;current_p5_dataset,404,50,0,meets_good_pending_qc,candidate_count_ok_needs_qc,"Run Stage D visual QC, remove bad labels, then freeze split."
no_motor_vehicles,No motor vehicles,must,assignment,47,50,3,still_below_minimum,stage_d_qc_needed,"Collect at least 3 more exact real/public crops, then Stage D QC before split freeze."
no_overtaking,No overtaking,must,assignment;common_malaysia;current_p5_dataset,51,50,0,meets_minimum_pending_qc,candidate_count_ok_needs_qc,"Run Stage D visual QC, remove bad labels, then freeze split."
no_parking,No parking,must,common_malaysia;demo_default;current_p5_dataset,57,50,0,meets_minimum_pending_qc,candidate_count_ok_needs_qc,"Run Stage D visual QC, remove bad labels, then freeze split."
no_right_turn,No right turn,must,assignment;common_malaysia,313,50,0,meets_good_pending_qc,candidate_count_ok_needs_qc,"Run Stage D visual QC, remove bad labels, then freeze split."
no_stopping,No stopping,must,common_malaysia;demo_default;current_p5_dataset,1250,50,0,meets_good_pending_qc,candidate_count_ok_needs_qc,"Run Stage D visual QC, remove bad labels, then freeze split."
no_straight_ahead,No straight ahead,must,assignment;current_p5_dataset,12,50,38,still_below_minimum,stage_d_qc_needed,Continue TT100K mining and exact public-source search; current count includes previous 7 plus 5 TT100K crops.
no_straight_or_left,No straight or left turn,must,assignment,0,50,50,still_below_minimum,not_ready_collect_more,Collect more realistic/public data before final training.
no_u_turn,No U-turn,must,assignment;common_malaysia;current_p5_dataset,552,50,0,meets_good_pending_qc,candidate_count_ok_needs_qc,"Run Stage D visual QC, remove bad labels, then freeze split."
pass_either_side,Pass either side,must,common_malaysia;current_p5_dataset,60,50,0,meets_minimum_pending_qc,candidate_count_ok_needs_qc,"Run Stage D visual QC, remove bad labels, then freeze split."
pedestrian_crossing,Pedestrian crossing,must,assignment;common_malaysia;demo_default;current_p5_dataset,517,50,0,meets_good_pending_qc,candidate_count_ok_needs_qc,"Run Stage D visual QC, remove bad labels, then freeze split."
permitted_u_turn,U-turn permitted,must,assignment;current_p5_dataset,878,50,0,meets_good_pending_qc,candidate_count_ok_needs_qc,"Run Stage D visual QC, remove bad labels, then freeze split."
railway_crossing,Railway crossing,must,assignment;secondary_malaysia,396,50,0,meets_good_pending_qc,candidate_count_ok_needs_qc,"Run Stage D visual QC, remove bad labels, then freeze split."
residential_area_ahead,Residential area ahead,must,assignment,0,50,50,still_below_minimum,not_ready_collect_more,Collect more realistic/public data before final training.
road_hump,Road hump,must,common_malaysia;demo_default;current_p5_dataset,1794,50,0,meets_good_pending_qc,candidate_count_ok_needs_qc,"Run Stage D visual QC, remove bad labels, then freeze split."
roadway_diverges,Traffic diverges,must,assignment,0,50,50,still_below_minimum,not_ready_collect_more,Collect more realistic/public data before final training.
roadworks,Roadworks,must,assignment;common_malaysia;demo_default;current_p5_dataset,271,50,0,meets_good_pending_qc,candidate_count_ok_needs_qc,"Run Stage D visual QC, remove bad labels, then freeze split."
roundabout_ahead,Roundabout ahead,must,common_malaysia;demo_default;current_p5_dataset,85,50,0,meets_minimum_pending_qc,candidate_count_ok_needs_qc,"Run Stage D visual QC, remove bad labels, then freeze split."
roundabout_mandatory,Roundabout,must,assignment,50,50,0,meets_minimum_pending_qc,stage_d_qc_needed,"Review Stage C gap-fill 02 contact sheet, then include accepted crops in Stage E split freeze."
school_zone,School zone,must,common_malaysia;demo_default;ocr_value,0,50,50,still_below_minimum,not_ready_collect_more,Collect more realistic/public data before final training.
side_road_right,Side road on right,must,assignment;secondary_malaysia;current_p5_dataset,46,50,4,still_below_minimum,not_ready_collect_more,Collect more realistic/public data before final training.
slow_text,Slow,must,assignment;multilingual_text,0,50,50,still_below_minimum,not_ready_collect_more,Collect more realistic/public data before final training.
sound_horn,Sound horn,must,assignment,0,50,50,still_below_minimum,not_ready_collect_more,Collect more realistic/public data before final training.
steep_descent,Steep descent,must,assignment;secondary_malaysia,0,50,50,still_below_minimum,not_ready_collect_more,Collect more realistic/public data before final training.
stop,Stop,must,assignment;common_malaysia;demo_default;multilingual_text;current_p5_dataset,1380,50,0,meets_good_pending_qc,candidate_count_ok_needs_qc,"Run Stage D visual QC, remove bad labels, then freeze split."
stop_for_checking,Stop for checking,must,assignment;multilingual_text,0,50,50,still_below_minimum,not_ready_collect_more,Collect more realistic/public data before final training.
straight_ahead,Straight ahead only,must,assignment,50,50,0,meets_minimum_pending_qc,stage_d_qc_needed,"Review Stage C gap-fill 02 contact sheet, then include accepted crops in Stage E split freeze."
straight_or_right,Straight or right,must,assignment,50,50,0,meets_minimum_pending_qc,stage_d_qc_needed,"Review Stage C gap-fill 02 contact sheet, then include accepted crops in Stage E split freeze."
tractors_ahead,Tractors ahead,must,assignment,0,50,50,still_below_minimum,not_ready_collect_more,Collect more realistic/public data before final training.
traffic_signal_ahead,Traffic signals ahead,must,assignment;common_malaysia;demo_default;current_p5_dataset,498,50,0,meets_good_pending_qc,candidate_count_ok_needs_qc,"Run Stage D visual QC, remove bad labels, then freeze split."
turn_left,Turn left,must,assignment,50,50,0,meets_minimum_pending_qc,stage_d_qc_needed,"Review Stage C gap-fill 02 contact sheet, then include accepted crops in Stage E split freeze."
turn_left_or_right,Turn left or right,must,assignment,0,50,50,still_below_minimum,not_ready_collect_more,Collect more realistic/public data before final training.
turn_right,Turn right,must,assignment,50,50,0,meets_minimum_pending_qc,stage_d_qc_needed,"Review Stage C gap-fill 02 contact sheet, then include accepted crops in Stage E split freeze."
uneven_road,Uneven road,must,assignment;secondary_malaysia,50,50,0,meets_minimum_pending_qc,stage_d_qc_needed,"Review Stage C gap-fill 02 contact sheet, then include accepted crops in Stage E split freeze."
weight_restriction,Weight restriction,must,common_malaysia;ocr_value;current_p5_dataset,140,50,0,meets_good_pending_qc,candidate_count_ok_needs_qc,"Run Stage D visual QC, remove bad labels, then freeze split."
width_restriction,Width restriction,must,common_malaysia;ocr_value;current_p5_dataset,1,50,49,still_below_minimum,not_ready_collect_more,Collect more realistic/public data before final training.
axle_weight_restriction,Axle weight restriction,optional,ocr_value,0,10,10,still_below_minimum,not_ready_collect_more,Collect more realistic/public data before final training.
bus_stop,Bus stop,optional,future_catalogue,189,10,0,meets_good_pending_qc,candidate_count_ok_needs_qc,"Run Stage D visual QC, remove bad labels, then freeze split."
chevron_left,Sharp direction left,optional,future_catalogue,28,10,0,meets_minimum_pending_qc,candidate_count_ok_needs_qc,"Run Stage D visual QC, remove bad labels, then freeze split."
chevron_right,Sharp direction right,optional,future_catalogue,201,10,0,meets_good_pending_qc,candidate_count_ok_needs_qc,"Run Stage D visual QC, remove bad labels, then freeze split."
construction_vehicle,Construction vehicles,optional,future_catalogue,0,10,10,still_below_minimum,not_ready_collect_more,Collect more realistic/public data before final training.
dead_end,Dead end,optional,future_catalogue,30,10,0,meets_good_pending_qc,candidate_count_ok_needs_qc,"Run Stage D visual QC, remove bad labels, then freeze split."
emergency_phone,Emergency telephone,optional,future_catalogue,0,10,10,still_below_minimum,not_ready_collect_more,Collect more realistic/public data before final training.
end_expressway,End of expressway,optional,future_catalogue,0,10,10,still_below_minimum,not_ready_collect_more,Collect more realistic/public data before final training.
end_speed_limit,End of speed limit,optional,ocr_value,0,10,10,still_below_minimum,not_ready_collect_more,Collect more realistic/public data before final training.
expressway,Expressway,optional,future_catalogue,911,10,0,meets_good_pending_qc,candidate_count_ok_needs_qc,"Run Stage D visual QC, remove bad labels, then freeze split."
hospital,Hospital,optional,future_catalogue,0,10,10,still_below_minimum,not_ready_collect_more,Collect more realistic/public data before final training.
lane_ends,Lane ends,optional,future_catalogue,0,10,10,still_below_minimum,not_ready_collect_more,Collect more realistic/public data before final training.
mosque,Mosque,optional,future_catalogue,0,10,10,still_below_minimum,not_ready_collect_more,Collect more realistic/public data before final training.
no_bicycle,No bicycles,optional,future_catalogue,20,10,0,meets_minimum_pending_qc,stage_d_qc_needed,"Review Stage C gap-fill 02 contact sheet, then include accepted crops in Stage E split freeze."
no_lane_changing,No lane changing,optional,future_catalogue,0,10,10,still_below_minimum,not_ready_collect_more,Collect more realistic/public data before final training.
no_motorcycle,No motorcycles,optional,future_catalogue,28,10,0,meets_minimum_pending_qc,candidate_count_ok_needs_qc,"Run Stage D visual QC, remove bad labels, then freeze split."
no_pedestrian,No pedestrians,optional,future_catalogue,0,10,10,still_below_minimum,not_ready_collect_more,Collect more realistic/public data before final training.
no_straight_or_right,No straight or right turn,optional,future_catalogue,0,10,10,still_below_minimum,not_ready_collect_more,Collect more realistic/public data before final training.
one_way,One way,optional,future_catalogue,29,10,0,meets_minimum_pending_qc,candidate_count_ok_needs_qc,"Run Stage D visual QC, remove bad labels, then freeze split."
parking,Parking,optional,future_catalogue,404,10,0,meets_good_pending_qc,candidate_count_ok_needs_qc,"Run Stage D visual QC, remove bad labels, then freeze split."
petrol_station,Petrol station,optional,future_catalogue,0,10,10,still_below_minimum,not_ready_collect_more,Collect more realistic/public data before final training.
rest_area,Rest area,optional,future_catalogue,0,10,10,still_below_minimum,not_ready_collect_more,Collect more realistic/public data before final training.
road_dip,Road dip,optional,future_catalogue,0,10,10,still_below_minimum,not_ready_collect_more,Collect more realistic/public data before final training.
straight_or_left,Straight or left,optional,future_catalogue,50,10,0,meets_minimum_pending_qc,stage_d_qc_needed,"Review Stage C gap-fill 02 contact sheet, then include accepted crops in Stage E split freeze."
toll_plaza,Toll plaza,optional,future_catalogue,0,10,10,still_below_minimum,not_ready_collect_more,Collect more realistic/public data before final training.
animal_crossing,Animals crossing,should,secondary_malaysia;current_p5_dataset,173,30,0,meets_good_pending_qc,candidate_count_ok_needs_qc,"Run Stage D visual QC, remove bad labels, then freeze split."
crossroads,Crossroads ahead,should,secondary_malaysia;current_p5_dataset,97,30,0,meets_good_pending_qc,candidate_count_ok_needs_qc,"Run Stage D visual QC, remove bad labels, then freeze split."
crosswind,Crosswind,should,secondary_malaysia;current_p5_dataset,40,30,0,meets_minimum_pending_qc,candidate_count_ok_needs_qc,"Run Stage D visual QC, remove bad labels, then freeze split."
curve_left,Left curve,should,secondary_malaysia;current_p5_dataset,179,30,0,meets_good_pending_qc,candidate_count_ok_needs_qc,"Run Stage D visual QC, remove bad labels, then freeze split."
curve_right,Right curve,should,secondary_malaysia,110,30,0,meets_good_pending_qc,candidate_count_ok_needs_qc,"Run Stage D visual QC, remove bad labels, then freeze split."
divided_road_begins,Divided road begins,should,secondary_malaysia;current_p5_dataset,81,30,0,meets_good_pending_qc,candidate_count_ok_needs_qc,"Run Stage D visual QC, remove bad labels, then freeze split."
divided_road_ends,Divided road ends,should,secondary_malaysia,0,30,30,still_below_minimum,not_ready_collect_more,Collect more realistic/public data before final training.
falling_rocks,Falling rocks,should,secondary_malaysia,0,30,30,still_below_minimum,not_ready_collect_more,Collect more realistic/public data before final training.
flagman_ahead,Flagman ahead,should,secondary_malaysia,41,30,0,meets_minimum_pending_qc,candidate_count_ok_needs_qc,"Run Stage D visual QC, remove bad labels, then freeze split."
flood_area,Flood area,should,secondary_malaysia,0,30,30,still_below_minimum,not_ready_collect_more,Collect more realistic/public data before final training.
low_clearance,Low clearance ahead,should,secondary_malaysia;ocr_value,0,50,50,still_below_minimum,not_ready_collect_more,Collect more realistic/public data before final training.
merge_left,Traffic merging from left,should,current_p5_dataset,559,30,0,meets_good_pending_qc,candidate_count_ok_needs_qc,"Run Stage D visual QC, remove bad labels, then freeze split."
merge_right,Traffic merging from right,should,current_p5_dataset,157,30,0,meets_good_pending_qc,candidate_count_ok_needs_qc,"Run Stage D visual QC, remove bad labels, then freeze split."
minimum_speed,Minimum speed,should,secondary_malaysia;ocr_value,0,50,50,still_below_minimum,not_ready_collect_more,Collect more realistic/public data before final training.
obstruction_ahead,Obstruction ahead,should,secondary_malaysia;current_p5_dataset,1895,30,0,meets_good_pending_qc,candidate_count_ok_needs_qc,"Run Stage D visual QC, remove bad labels, then freeze split."
road_narrows_both,Road narrows,should,secondary_malaysia;current_p5_dataset,51,30,0,meets_minimum_pending_qc,candidate_count_ok_needs_qc,"Run Stage D visual QC, remove bad labels, then freeze split."
road_narrows_left,Road narrows on left,should,secondary_malaysia,39,30,0,meets_minimum_pending_qc,candidate_count_ok_needs_qc,"Run Stage D visual QC, remove bad labels, then freeze split."
road_narrows_right,Road narrows on right,should,secondary_malaysia,652,30,0,meets_good_pending_qc,candidate_count_ok_needs_qc,"Run Stage D visual QC, remove bad labels, then freeze split."
side_road_left,Side road on left,should,secondary_malaysia;current_p5_dataset,366,30,0,meets_good_pending_qc,candidate_count_ok_needs_qc,"Run Stage D visual QC, remove bad labels, then freeze split."
slippery_road,Slippery road,should,secondary_malaysia;current_p5_dataset,135,30,0,meets_good_pending_qc,candidate_count_ok_needs_qc,"Run Stage D visual QC, remove bad labels, then freeze split."
staggered_junction,Staggered junction ahead,should,secondary_malaysia;current_p5_dataset,6,30,24,still_below_minimum,not_ready_collect_more,Collect more realistic/public data before final training.
steep_ascent,Steep ascent,should,secondary_malaysia,0,30,30,still_below_minimum,not_ready_collect_more,Collect more realistic/public data before final training.
t_junction,T-junction ahead,should,secondary_malaysia;current_p5_dataset,37,30,0,meets_minimum_pending_qc,candidate_count_ok_needs_qc,"Run Stage D visual QC, remove bad labels, then freeze split."
temporary_speed_limit,Temporary speed limit,should,secondary_malaysia;ocr_value,0,50,50,still_below_minimum,not_ready_collect_more,Collect more realistic/public data before final training.
two_way_traffic,Two-way traffic,should,secondary_malaysia;current_p5_dataset,8,30,22,still_below_minimum,not_ready_collect_more,Collect more realistic/public data before final training.
vehicle_collision_hazard,Vehicle collision hazard,should,secondary_malaysia;current_p5_dataset,20,30,10,still_below_minimum,not_ready_collect_more,Collect more realistic/public data before final training.
