semantic_sign_id,name_en,category,severity,parameter_type,priority,required_for,assignment_sign_ids,assignment_image_count,assignment_parameter_values,current_p5_crops,train_count,validation_count,test_count,tiny_crop_count,minimum_clean_crops,good_target_crops,strong_target_crops,gap_to_minimum,gap_to_good,split_status,qc_risk,data_status,collection_rank,recommended_next_step,limitation_if_not_fixed,include_in_next_classifier,weak_class_contact_sheet
bicycle_crossing,Bicycle crossing,warning,warning,none,must,assignment,sign_036,3,,0,0,0,0,0,50,150,300,50,150,no_samples,none,missing_data,P0_collect_now,Collect and annotate at least 50 more clean crops; aim for 150 total. Keep coursework images as external test unless explicitly moved into training.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,
bicycles_only,Bicycles only,mandatory,information,none,must,assignment,sign_030,3,,0,0,0,0,0,50,150,300,50,150,no_samples,none,missing_data,P0_collect_now,Collect and annotate at least 50 more clean crops; aim for 150 total. Keep coursework images as external test unless explicitly moved into training.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,
motor_vehicles_only,Motor vehicles only,mandatory,warning,none,must,assignment,sign_028,3,,0,0,0,0,0,50,150,300,50,150,no_samples,none,missing_data,P0_collect_now,Collect and annotate at least 50 more clean crops; aim for 150 total. Keep coursework images as external test unless explicitly moved into training.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,
no_horn,No horn,regulatory,caution,none,must,assignment,sign_017,1,,0,0,0,0,0,50,150,300,50,150,no_samples,none,missing_data,P0_collect_now,Collect and annotate at least 50 more clean crops; aim for 150 total. Keep coursework images as external test unless explicitly moved into training.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,
no_left_or_right_turn,No left or right turn,regulatory,warning,direction,must,assignment,sign_012,1,,0,0,0,0,0,50,150,300,50,150,no_samples,none,missing_data,P0_collect_now,Collect and annotate at least 50 more clean crops; aim for 150 total. Keep coursework images as external test unless explicitly moved into training.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,
no_motor_vehicles,No motor vehicles,regulatory,warning,none,must,assignment,sign_016,1,,0,0,0,0,0,50,150,300,50,150,no_samples,none,missing_data,P0_collect_now,Collect and annotate at least 50 more clean crops; aim for 150 total. Keep coursework images as external test unless explicitly moved into training.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,
no_right_turn,No right turn,regulatory,warning,direction,must,assignment;common_malaysia,sign_013,1,,0,0,0,0,0,50,150,300,50,150,no_samples,none,missing_data,P0_collect_now,Collect and annotate at least 50 more clean crops; aim for 150 total. Keep coursework images as external test unless explicitly moved into training.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,
no_straight_or_left,No straight or left turn,regulatory,warning,direction,must,assignment,sign_008,1,,0,0,0,0,0,50,150,300,50,150,no_samples,none,missing_data,P0_collect_now,Collect and annotate at least 50 more clean crops; aim for 150 total. Keep coursework images as external test unless explicitly moved into training.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,
railway_crossing,Railway crossing,warning,critical,none,must,assignment;secondary_malaysia,sign_047;sign_050,4,,0,0,0,0,0,50,150,300,50,150,no_samples,none,missing_data,P0_collect_now,Collect and annotate at least 50 more clean crops; aim for 150 total. Keep coursework images as external test unless explicitly moved into training.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,
residential_area_ahead,Residential area ahead,warning,warning,none,must,assignment,sign_045,2,,0,0,0,0,0,50,150,300,50,150,no_samples,none,missing_data,P0_collect_now,Collect and annotate at least 50 more clean crops; aim for 150 total. Keep coursework images as external test unless explicitly moved into training.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,
roadway_diverges,Traffic diverges,warning,warning,none,must,assignment,sign_032,2,,0,0,0,0,0,50,150,300,50,150,no_samples,none,missing_data,P0_collect_now,Collect and annotate at least 50 more clean crops; aim for 150 total. Keep coursework images as external test unless explicitly moved into training.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,
roundabout_mandatory,Roundabout,mandatory,warning,direction,must,assignment,sign_027,3,,0,0,0,0,0,50,150,300,50,150,no_samples,none,missing_data,P0_collect_now,Collect and annotate at least 50 more clean crops; aim for 150 total. Keep coursework images as external test unless explicitly moved into training.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,
school_zone,School zone,warning,critical,speed,must,common_malaysia;demo_default;ocr_value,,0,,0,0,0,0,0,50,150,300,50,150,no_samples,none,missing_data,P0_collect_now,Collect and annotate at least 50 more clean crops; aim for 150 total. Capture phone/laptop-camera examples from real or printed demo signs. Store OCR transcript/value/unit for each sample. Prioritize Malaysian school-zone signs because no current P5 samples exist.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,
slow_text,Slow,text,warning,none,must,assignment;multilingual_text,sign_042,2,,0,0,0,0,0,50,150,300,50,150,no_samples,none,missing_data,P0_collect_now,Collect and annotate at least 50 more clean crops; aim for 150 total. Keep coursework images as external test unless explicitly moved into training.,Likely unknown or wrong in the live app until data is collected and the classifier is retrained.,not_yet,
